WinningHand,NumWinners,FavouredHand,UnfavouredHand,FavouredHandClass,UnfavouredHandClass,FavouredWon,P(FavouredWins),P(FavouredLoses),P(Tie),P(ThisOutcome),Sum(Ps),AllHands,
8s Ac,1, 8s Ac,7s Tc,A8,T7,1,0.621004214205,0.374463880246,0.004531905549,0.621004214205,1.000000000000,8s Ac, 7s Tc
Ah Ad,1, Ah Ad,Qd Qc,AA,QQ,1,0.813298339547,0.182357221615,0.004344438838,0.813298339547,1.000000000000,Ah Ad, Qd Qc
6c 6h,1, 6c 6h,Ad Ks,66,AK,1,0.552307300573,0.444569422252,0.003123277175,0.552307300573,1.000000000000,Ad Ks, 6c 6h
Ac Jd,1, Ac Jd,As 9d,AJ,A9,1,0.694168208449,0.227453185883,0.078378605668,0.694168208449,1.000000000000,Ac Jd, As 9d
Kh 5s,1, As 4s,Kh 5s,A4 s,K5,0,0.628756926340,0.365622576365,0.005620497295,0.365622576365,1.000000000000,As 4s, Kh 5s
Ts Tc,1, Ts Tc,7h Jc,TT,J7,1,0.713633209991,0.282441085228,0.003925704781,0.713633209991,1.000000000000,Ts Tc, 7h Jc
Jd Th,1, Qh As,Jd Th,AQ,JT,0,0.631696824863,0.363931871911,0.004371303227,0.363931871911,1.000000000000,Qh As, Jd Th
6d 6h,1,6d 6h,4d 0h 0m 4s,66,44,1,0.804183719713,0.176115923341,0.019700356946,0.804183719713,1.000000000000,6d 6h,4d 0h 0m 4s
Ad 8d,1, Ad 8d,2s As,A8 s,A2 s,1,0.541152155225,0.267639975145,0.191207869631,0.541152155225,1.000000000000,Ad 8d, 2s As
Ts Ah,1,7d 0h 0m 7s,Ts Ah,77,AT,0,0.545370448238,0.451005195339,0.003624356423,0.451005195339,1.000000000000,7d 0h 0m 7s, Ts Ah
Qc Th,1, Ts Kd,Qc Th,KT,QT,0,0.718872933778,0.253038011942,0.028089054280,0.253038011942,1.000000000000,Ts Kd, Qc Th
6s 7c,1, 8h As,6s 7c,A8,76,0,0.623317471664,0.372863113092,0.003819415244,0.372863113092,1.000000000000,8h As, 6s 7c
8s Qs,1, 8s Qs,Tc 9s,Q8 s,T9,1,0.583454807090,0.407133312776,0.009411880133,0.583454807090,1.000000000000,8s Qs, Tc 9s
Ah Ks,1, Ah Ks,Jd Kd,AK,KJ s,1,0.690395513881,0.298511245667,0.011093240453,0.690395513881,1.000000000000,Ah Ks, Jd Kd
8d 0h 0m 8s,1,8d 0h 0m 8s,Kh Jh,88,KJ s,1,0.510454335212,0.485698217139,0.003847447649,0.510454335212,1.000000000000,Kh Jh,8d 0h 0m 8s
Draw,2, Ah Kh,5c As,AK s,A5,0,0.717580523085,0.237553611975,0.044865864940,0.044865864940,1.000000000000,Ah Kh, 5c As
Draw,2,7s,7c 3d,76s,73,0,0.464962413216,0.203651337613,0.331386249171,0.331386249171,1.000000000000,7s, 7c 3d
8c 7c,1, Ac Td,8c 7c,AT,87s,0,0.596769031667,0.398772647848,0.004458320485,0.398772647848,1.000000000000,Ac Td, 8c 7c
5h 0m 5s,1,5h 0m 5s,Kd 9c,55,K9,1,0.541314509573,0.453686962128,0.004998528299,0.541314509573,1.000000000000,5h 0m 5s, Kd 9c
As Td,1, As Td,Qs 9d,AT,Q9,1,0.637298049879,0.357715101991,0.004986848130,0.637298049879,1.000000000000,As Td, Qs 9d
8h 0m 8s,1,8h 0m 8s,6d Ac,88,A6,1,0.707991688392,0.289277488110,0.002730823499,0.707991688392,1.000000000000,8h 0m 8s, 6d Ac
Jc Tc,1, Qs 9h,Jc Tc,Q9,JT s,0,0.535123436025,0.456186518282,0.008690045693,0.456186518282,1.000000000000,Jc Tc, Qs 9h
6c 5d,1, 4d As,6c 5d,A4,65,0,0.566604995375,0.428317635186,0.005077369439,0.428317635186,1.000000000000,6c 5d, 4d As
Ah Jh,1, Ah Jh,Ac 8h,AJ s,A8,1,0.698510311253,0.225614143283,0.075875545464,0.698510311253,1.000000000000,Ah Jh, Ac 8h
Ac 3s,1, Ac 3s,Th Kd,A3,KT,1,0.569262817817,0.426566777862,0.004170404321,0.569262817817,1.000000000000,Th Kd, Ac 3s
As Ts,1, Jc Ah,As Ts,AJ,AT s,0,0.644972504882,0.278879217709,0.076148277409,0.278879217709,1.000000000000,As Ts, Jc Ah
Qc Kh,1, Ac Js,Qc Kh,AJ,KQ,0,0.598661803044,0.396660289294,0.004677907661,0.396660289294,1.000000000000,Ac Js, Qc Kh
Jh Kh,1, Qs As,Jh Kh,AQ s,KJ s,0,0.607407329540,0.387618670516,0.004973999944,0.387618670516,1.000000000000,Qs As, Jh Kh
6h 0m 6s,1,6h 0m 6s,Qc Kd,66,KQ,1,0.537137097151,0.459192409759,0.003670493090,0.537137097151,1.000000000000,Qc Kd,6h 0m 6s
6d 6h,1,6d 6h,Jh Ad,66,AJ,1,0.535406680122,0.459913076183,0.004680243695,0.535406680122,1.000000000000,Jh Ad,6d 6h
Js Ad,1, Js Ad,Kh Qd,AJ,KQ,1,0.598661803044,0.396660289294,0.004677907661,0.598661803044,1.000000000000,Js Ad, Kh Qd
4d 0h 0m 8s,1, Qd Ad,4d 0h 0m 8s,AQ s,84,0,0.672123057588,0.322792564872,0.005084377540,0.322792564872,1.000000000000,Qd Ad,4d 0h 0m 8s
Kd Ah,1, Qc Qs,Kd Ah,QQ,AK,0,0.569939099599,0.426642114952,0.003418785449,0.426642114952,1.000000000000,Qc Qs, Kd Ah
7s Jd,1, Qc 8d,7s Jd,Q8,J7,0,0.629522561414,0.361420635588,0.009056802998,0.361420635588,1.000000000000,Qc 8d, 7s Jd
Ad 8s,1, Ad 8s,4s As,A8,A4 s,1,0.520002873322,0.277128944393,0.202868182285,0.520002873322,1.000000000000,4s As, Ad 8s
Ah As,1, Ah As,3h,AA,43s,1,0.812879605491,0.181989880302,0.005130514208,0.812879605491,1.000000000000,Ah As,3h
9h 9c,1, 9h 9c,Ah Kh,99,AK s,1,0.525374583018,0.470089423373,0.004535993609,0.525374583018,1.000000000000,Ah Kh, 9h 9c
Jd Jh,1, Jd Jh,7d Ad,JJ,A7 s,1,0.680244279053,0.315598164812,0.004157556135,0.680244279053,1.000000000000,Jd Jh, 7d Ad
6s Ac,1, 6s Ac,Js Qs,A6,QJ s,1,0.525368158925,0.469821363496,0.004810477579,0.525368158925,1.000000000000,Js Qs, 6s Ac
As 7c,1, As 7c,8d 0h 0m 9s,A7,98,1,0.567294709351,0.428906899709,0.003798390940,0.567294709351,1.000000000000,8d 0h 0m 9s, As 7c
Kc Td,1, 4s Ac,Kc Td,A4,KT,0,0.573908021006,0.421392463021,0.004699515974,0.421392463021,1.000000000000,Kc Td, 4s Ac
Ac Qd,1, Ac Qd,Ts Ah,AQ,AT,1,0.703708570441,0.239489015969,0.056802413590,0.703708570441,1.000000000000,Ac Qd, Ts Ah
9s As,1, 9s As,6c 5s,A9 s,65,1,0.635132546557,0.359767307674,0.005100145769,0.635132546557,1.000000000000,9s As, 6c 5s
As 6s,1, As 6s,9d Kd,A6 s,K9 s,1,0.573536591633,0.421885950158,0.004577458208,0.573536591633,1.000000000000,9d Kd, As 6s
2h 2c,1, Js Qs,2h 2c,QJ s,22,0,0.521332076547,0.467160621011,0.011507302442,0.467160621011,1.000000000000,Js Qs, 2h 2c
9s Ah,1, 9s Ah,Ks Jd,A9,KJ,1,0.575041581401,0.420585363347,0.004373055252,0.575041581401,1.000000000000,Ks Jd, 9s Ah
4s 5c,1, Ks 9s,4s 5c,K9 s,54,0,0.640544552836,0.351756463805,0.007698983358,0.351756463805,1.000000000000,Ks 9s, 4s 5c
Ac Jc,1, Ac Jc,7c Ad,AJ s,A7,1,0.696309767424,0.227393033013,0.076297199563,0.696309767424,1.000000000000,Ac Jc, 7c Ad
Ah Ks,1, Ah Ks,As Qs,AK,AQ s,1,0.686444696736,0.268414370345,0.045140932918,0.686444696736,1.000000000000,As Qs, Ah Ks
Ac Kh,1, 7c 7s,Ac Kh,77,AK,0,0.548034694774,0.448356717032,0.003608588195,0.448356717032,1.000000000000,Ac Kh, 7c 7s
Qd Qc,1, Qd Qc,8h Jh,QQ,J8 s,1,0.812940342369,0.183580719312,0.003478938319,0.812940342369,1.000000000000,Qd Qc, 8h Jh
Kd 6c,1, Kd 6c,Qs Ts,K6,QT s,1,0.519331263607,0.474637097151,0.006031639242,0.519331263607,1.000000000000,Qs Ts, Kd 6c
Draw,2, Kh Ah,Ad Kc,AK s,AK,0,0.071573739243,0.021730954317,0.906695306441,0.906695306441,1.000000000000,Kh Ah, Ad Kc
Ac Qc,1, Ac Qc,Jc Kh,AQ s,KJ,1,0.642253361553,0.352507498668,0.005239139779,0.642253361553,1.000000000000,Ac Qc, Jc Kh
9c Ac,1, 9c Ac,Jc Kc,A9 s,KJ s,1,0.590860618208,0.403340761921,0.005798619871,0.590860618208,1.000000000000,Jc Kc, 9c Ac
As 7c,1, As 7c,Th 8c,A7,T8,1,0.565997042581,0.430258295256,0.003744662163,0.565997042581,1.000000000000,Th 8c, As 7c
Ad 8h,1, Ad 8h,9d 2h,A8,92,1,0.649444257562,0.345372083462,0.005183658976,0.649444257562,1.000000000000,Ad 8h,9d 2h
Kd Qc,1, Kd Qc,3c Kh,KQ,K3,1,0.718198404022,0.221224735795,0.060576860184,0.718198404022,1.000000000000,Kd Qc, 3c Kh
5d 5h,1,5d 5h,9d Ac,55,A9,1,0.549568884964,0.445950018221,0.004481096815,0.549568884964,1.000000000000,5d 5h, 9d Ac
9d 0h 0m 9s,1,9d 0h 0m 9s,Ac Qd,99,AQ,1,0.551931783141,0.444223105243,0.003845111616,0.551931783141,1.000000000000,9d 0h 0m 9s, Ac Qd
7d 0h 0m 7s,1,7d 0h 0m 7s,2c Ad,77,A2,1,0.696576075276,0.298669511956,0.004754412768,0.696576075276,1.000000000000,7d 0h 0m 7s, 2c Ad
Kc Jh,1, Kc Jh,Ks 7s,KJ,K7 s,1,0.645763836328,0.281045305039,0.073190858633,0.645763836328,1.000000000000,Kc Jh, Ks 7s
Ts Js,1, Ts Js,6h,JT s,76s,1,0.624335398387,0.364827740868,0.010836860744,0.624335398387,1.000000000000,Ts Js,6h
Draw,2, Ac 5h,3s Ad,A5,A3,0,0.340561605883,0.222254926695,0.437183467422,0.437183467422,1.000000000000,Ac 5h, 3s Ad
Qs Qc,1, Qs Qc,Jh Jc,QQ,JJ,1,0.817471079902,0.178141264635,0.004387655463,0.817471079902,1.000000000000,Qs Qc, Jh Jc
Ks Kh,1, Ks Kh,Kd Ah,KK,AK,1,0.693782762874,0.297446014259,0.008771222867,0.693782762874,1.000000000000,Ks Kh, Kd Ah
As 8s,1, As 8s,5d Ac,A8 s,A5,1,0.568349428606,0.232955713471,0.198694857922,0.568349428606,1.000000000000,As 8s, 5d Ac
Ah Jh,1, 8c 8d,Ah Jh,88,AJ s,0,0.523276824676,0.473283365571,0.003439809753,0.473283365571,1.000000000000,Ah Jh, 8c 8d
